,MLSNumber,DOM,List Price,City,Age,CompAvgAge,InteriorSqFt,CompAvgSqFt,Bedrooms,BathsFull,BathsHalf,NumComps,hoaTotalFee,MonthlyMortgage,TaxMonthlyTotal,TotalMonthlyCosts,CompAvgRentRevenue,MonthlyProfit,CapRate
4519,VAFX1141866,79,639000.0,Fairfax,2002,2002.0,2684,2218.0,3,3,0.0,3.0,104.0,2480.93,500.0,3109.93,2633.3333333333335,-476.59666666666635,-5.719159999999996
4525,VAAX248540,79,555000.0,Alexandria,2008,,1088,,2,2,0.0,0.0,595.0,2094.29,502.5,3216.79,,,
4528,VAFX1141680,79,1255000.0,Mclean,1979,,4218,,5,6,0.0,0.0,575.0,5316.27,1502.3333333333333,7418.6033333333335,,,
4530,VAAR165702,79,579000.0,Arlington,2004,2004.0,1078,1212.6666666666667,2,2,1.0,3.0,487.0,2204.76,454.4166666666667,3171.1766666666667,2918.3333333333335,-252.84333333333325,-3.034119999999999
4532,VAFX1141316,76,360000.0,Burke,1984,1985.5,1710,1615.0,3,2,1.0,2.0,217.0,1196.74,303.5,1742.24,2145.0,402.76,4.83312
4536,VAFX1141626,78,462000.0,Centreville,1993,1990.6666666666667,1452,1571.3333333333333,4,3,1.0,3.0,105.0,1666.22,372.25,2168.4700000000003,2348.3333333333335,179.86333333333323,2.1583599999999987
4540,VAFX1141568,80,1110000.0,Springfield,2004,,7106,,6,4,1.0,0.0,140.0,4648.86,921.1666666666666,5735.026666666667,,,
4544,VAPW499688,61,176000.0,Woodbridge,1982,1984.0,992,928.5,2,1,0.0,4.0,440.0,349.82,150.5,965.3199999999999,1393.75,428.43000000000006,5.141160000000001
4545,VALO416168,80,462990.0,Leesburg,2020,2020.0,1524,1542.0,3,2,1.0,2.0,229.0,1670.78,0.0,1924.78,2362.5,437.72,5.25264
4546,VAAR165536,77,365000.0,Arlington,1947,1947.0,872,872.0,2,1,0.0,1.0,563.0,1219.75,259.5,2067.25,1900.0,-167.25,-2.007
4547,VAAR166000,80,700000.0,Arlington,2007,2009.0,1213,1312.0,1,1,0.0,1.0,616.0,2761.70,586.3333333333334,3989.0333333333333,3800.0,-189.0333333333333,-2.2683999999999997
4569,VAFX1141056,51,551465.0,Herndon,2020,,1469,,2,2,0.0,0.0,280.0,2078.02,528.4166666666666,2911.4366666666665,,,
4574,VAAX248100,78,284900.0,Alexandria,1974,1974.0,1036,1025.8,2,2,0.0,5.0,357.0,851.06,217.495,1450.5549999999998,1643.0,192.44500000000016,2.309340000000002
4583,VAFX1140808,46,430000.0,Falls Church,1983,1983.0,1252,1312.8333333333333,2,2,0.0,6.0,502.0,1518.93,261.8333333333333,2307.7633333333333,2052.5,-255.26333333333332,-3.06316
4587,VALO415904,77,510000.0,Sterling,2002,,2778,,4,3,2.0,0.0,417.0,1887.16,398.1666666666667,2727.3266666666664,,,
